language,total,found_count,prevalence_pct,ci_lo,ci_hi,ci_err_lo,ci_err_hi
TypeScript,27796,1051,3.781119585551878,3.563195052133768,4.011817893263733,0.21792453341811013,0.23069830771185496
Python,43072,773,1.7946693907875186,1.6735232278036138,1.9244136724007919,0.12114616298390479,0.12974428161327323
Rust,12115,279,2.3029302517540238,2.0505636060565062,2.5855362667234134,0.25236664569751754,0.28260601496938964
Go,15188,268,1.7645509612852253,1.567029341937231,1.986467424379764,0.19752161934799428,0.22191646309453872
JavaScript,16105,157,0.9748525302701024,0.8343660250828894,1.1387218473560576,0.14048650518721306,0.1638693170859552
C#,8388,100,1.1921793037672865,0.9812331008350739,1.4478117943879245,0.21094620293221267,0.255632490620638
Java,8566,67,0.7821620359561056,0.6164098845806554,0.9920399145381527,0.16575215137545019,0.2098778785820471
PHP,6907,56,0.8107716809034313,0.6249215630787044,1.0513084347264838,0.18585011782472693,0.2405367538230525
C++,8730,35,0.4009163802978236,0.28842089216221634,0.5570444068649609,0.11249548813560728,0.1561280265671373
C,4767,20,0.4195510803440319,0.27176344914209827,0.6471855262336509,0.1477876312019336,0.227634445889619
(unknown),14,0,0.0,0.0,21.531701192718142,0.0,21.531701192718142
