repo,source_csv,found,match_name,match_path,default_branch,seart_default_branch,commit_sha,acf_ref,match_url,match_sha,match_size_bytes,scan_method,http_status,error_type,error_message,acf_error_type,acf_error_message,scanned_at_utc,stars,fork,archived,has_README,has_CONTRIBUTING,has_SECURITY,has_CODE_OF_CONDUCT,has_CLAUDE,has_AGENTS,has_COPILOT,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
CyprusCodes/xest,MULTIPLE,False,SKILL.md,,main,main,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-16T05:18:17Z,24,false,false,1,0,0,0,0,0,0,425118850,CyprusCodes/xest,false,354,6,0,8,JavaScript,main,MIT,https://xestjs.com,24,24,21,36194,2021-11-06T00:23:38Z,2025-10-22T10:31:23Z,2025-10-22T09:26:52Z,,17,,,,,,,2025-10-22T10:31:23Z,a5244ec66bfde0258db00242258c6a1c39bf8502,true,false,false,,JavaScript;Liquid;TypeScript;HTML;CSS,,api-rest;expressjs;framework;nodejs;restful-api
GordonSmith/component-model-cpp,MULTIPLE,False,SKILL.md,,main,main,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-16T09:37:13Z,15,false,false,1,0,0,0,0,0,0,771906335,GordonSmith/component-model-cpp,false,53,35,6,1,C++,main,Apache-2.0,https://gordonsmith.github.io/component-model-cpp/,15,15,3,13136,2024-03-14T07:05:37Z,2026-03-01T08:37:48Z,2026-02-09T17:42:15Z,,2,,,,,,,2026-03-01T08:37:48Z,d66bc324580bda01a360d7d1ae14d80ba82199b8,true,false,false,,C++;CMake;ANTLR;Dockerfile;Shell;Rust,,wasm;webassembly;wit
bashgeek/icinga-multi-status,MULTIPLE,False,SKILL.md,,main,main,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-17T19:19:54Z,17,false,false,1,0,0,0,0,0,0,26901212,bashgeek/icinga-multi-status,false,119,1,29,6,JavaScript,main,MIT,,17,17,4,1340,2014-11-20T07:34:05Z,2025-12-07T06:29:07Z,2026-01-02T11:38:58Z,,0,,,,,,,2025-12-07T06:29:07Z,4fe0bdca6df49db80cb571d65f1cdfa0f592b674,true,false,false,,JavaScript;HTML;CSS;Shell,,browser-extension;icinga;icinga2;monitoring;notifications
byjg/php-migration,MULTIPLE,False,SKILL.md,,master,master,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-17T22:14:57Z,165,false,false,1,1,0,0,0,0,0,60751798,byjg/php-migration,false,223,5,26,28,PHP,master,MIT,,165,165,11,239,2016-06-09T05:25:46Z,2026-03-10T17:58:22Z,2026-03-10T17:58:26Z,,12,,,,,,,2026-03-10T17:58:22Z,cafae09bd224e778c04258498a3d58e5bd10508d,true,false,false,,PHP;Shell,,database-migrations;mysql;php;php56;php7;php71;postgresql;sql-script;sqlite3;sqlserver
embox/embox,MULTIPLE,False,SKILL.md,,master,master,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-18T14:06:44Z,1548,false,false,1,1,0,0,0,0,0,33078138,embox/embox,false,28130,12,43,345,C,master,BSD-2-Clause,http://embox.github.io,1548,1548,236,88400,2015-03-29T15:27:48Z,2026-03-14T12:31:34Z,2026-03-14T23:58:54Z,,226,,,,,,,2026-03-14T12:31:34Z,db064efb76438396912887201280bbdf3ca65435,true,false,false,,C;C++;Makefile;Assembly;Shell;HTML;Pawn;Python;JavaScript;Jupyter Notebook;Smalltalk;Lua;Awk;Vim Script;CSS;Batchfile;CMake;GDB;Perl;Linker Script;Ruby,,c;embedded;kernel;mcu;microcontroller;os;posix
jelmerdemaat/dwnld-attr-polyfill,MULTIPLE,False,SKILL.md,,master,master,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-19T07:01:56Z,13,false,false,1,0,0,1,0,0,0,213969290,jelmerdemaat/dwnld-attr-polyfill,false,69,2,0,4,JavaScript,master,MIT,https://www.npmjs.com/package/dwnld-attr-polyfill,13,13,5,635,2019-10-09T16:32:59Z,2026-02-28T18:01:13Z,2025-11-03T07:15:05Z,,1,,,,,,,2026-02-28T18:01:13Z,23f9b5162c4d5b12aa44849dc1ca83b0f6ded93d,false,false,false,,JavaScript,,attribute;download;ie11;javascript;polyfill
ppatrzyk/filmweb-export,MULTIPLE,False,SKILL.md,,master,master,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-20T12:38:32Z,18,false,false,1,0,0,0,0,0,0,278826845,ppatrzyk/filmweb-export,false,155,7,9,3,Python,master,MIT,https://pypi.org/project/filmweb/,18,18,2,793,2020-07-11T09:08:57Z,2025-11-05T14:48:46Z,2026-02-07T17:40:57Z,,8,,,,,,,2025-11-05T14:48:46Z,31ad73013ac0222711a7468b7c2f1fe822717643,true,false,false,,Python,,data-extraction;exporter;filmweb;movie-database;movies;poland
tonywagner/EPlusTV,MULTIPLE,False,SKILL.md,,master,master,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-21T05:02:20Z,257,false,false,1,0,0,0,0,0,0,412318232,tonywagner/EPlusTV,false,373,1,136,47,TypeScript,master,MIT,,257,257,13,10989,2021-10-01T03:56:30Z,2026-03-01T01:04:54Z,2026-03-03T17:54:22Z,,34,,,,,,,2026-03-01T01:04:54Z,cdec38ac0c16cf03c9457e328dcaa8a902948be6,true,false,false,,TypeScript;Dockerfile;Shell,,channels-dvr-server;custom-channels;jellyfin;livetv;tvheadend;xmltv
tonywu6/mdbookkit,MULTIPLE,False,SKILL.md,,main,main,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-21T05:02:20Z,25,false,false,1,0,0,0,0,0,0,945931699,tonywu6/mdbookkit,false,185,4,9,1,Rust,main,Apache-2.0,https://docs.tonywu.dev/mdbookkit/,25,25,2,7462,2025-03-10T10:56:01Z,2026-03-14T09:05:14Z,2026-03-14T08:59:21Z,,3,,,,,,,2026-03-14T09:05:14Z,102b6f39f0d4f281cada7ac99a71e369014254c1,false,false,false,,Rust;Just,,mdbook;permalinks;rust-analyzer
tunamaguro/sqlc-gen-rust,MULTIPLE,False,SKILL.md,,main,main,,,,,,code_search,408,other,"This query timed out. Try a simpler query, or try again later",,,2026-03-21T05:47:51Z,20,false,false,1,0,0,0,0,0,0,1010386701,tunamaguro/sqlc-gen-rust,false,253,2,11,3,Rust,main,Apache-2.0,,20,20,3,638,2025-06-29T00:41:51Z,2026-03-09T13:50:50Z,2026-03-12T15:31:10Z,,5,,,,,,,2026-03-09T13:50:50Z,184aec27480f490f120d088a9b3e4b1c471ec8ec,false,false,false,,Rust;Just;Dockerfile,,
